place;username;date;text;permalink
944c03c1d85ef480;arejayberger;2016-11-07 00:41;"@KalieWolfe @HillaryClinton @billclinton poor guy doesn't even have eyebrows anymore";https://twitter.com/arejayberger/status/795410850932625408
944c03c1d85ef480;notgoing2stop;2016-11-07 00:24;"@HillaryClinton https:// twitter.com/TheDailyEdge/s tatus/794679723079168000 …";https://twitter.com/notgoing2stop/status/795406519860752384
944c03c1d85ef480;notgoing2stop;2016-11-07 00:06;"@HillaryClinton pic.twitter.com/gD62rNU3tM";https://twitter.com/notgoing2stop/status/795401882600517632
944c03c1d85ef480;tomison61;2016-11-06 21:29;"@DVATW @cathymv I don't know! Too many ppl @realDonaldTrump rallies compared to @HillaryClinton #cheating";https://twitter.com/tomison61/status/795362511717421056
944c03c1d85ef480;HopeCapriola;2016-11-06 10:38;"@tonyschwartz nailed this about Trump. He can't stand that these stars are coming out for @HillaryClinton & not him. This is eating him up https:// twitter.com/sopandeb/statu s/795151271695097857 …";https://twitter.com/HopeCapriola/status/795198569149972480
944c03c1d85ef480;LincolnFresno;2016-11-06 02:23;"Sad the left is so very violent. @HillaryClinton paid for a lot of this. https:// twitter.com/drudge_report/ status/795073288447803392 …";https://twitter.com/LincolnFresno/status/795074144601665536
944c03c1d85ef480;msprad2;2016-11-06 01:02;"@foxnation @HillaryClinton Are you kidding me. She is arrogant and angry. Angry because she got caught at her evil ways. Not to be trusted.";https://twitter.com/msprad2/status/795053636543868929
944c03c1d85ef480;msprad2;2016-11-06 00:58;"@megynkelly @HillaryClinton No she is not. She comes across crass, negative, bully. Phony laugh. Horrible evil person...";https://twitter.com/msprad2/status/795052758889922560
944c03c1d85ef480;msprad2;2016-11-06 00:51;"@FoxNews @NoahCRothman @HillaryClinton She is the most negative person. Always on the defense. Never talks issues. Screams and yells. Unfit.";https://twitter.com/msprad2/status/795050949316227073
944c03c1d85ef480;msprad2;2016-11-06 00:48;"@foxnation @HillaryClinton And people actually want this criminal person as President. So wrong. There are a lot of stupid people among us.";https://twitter.com/msprad2/status/795050138150387713
944c03c1d85ef480;tomison61;2016-11-05 22:38;"@HillaryClinton LIAR and a cheater #Satan https:// twitter.com/misspatriarch/ status/794979644877447168 …";https://twitter.com/tomison61/status/795017367461859328
